"name","complexity","completionRate","term","credits"
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.82,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.73,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.8,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.66,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.71,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.83,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.76,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.76,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.69,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.78,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.76,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.79,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.76,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.78,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.76,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.66,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.69,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.79,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.69,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.77,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.8,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.71,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.69,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.75,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.69,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.8,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.67,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.69,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.81,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.68,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.72,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.78,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.74,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.71,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.78,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.7,8.0,118.0
"Applied Baccalaureate - 83.json",155.0,0.78,8.0,118.0
