"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER","ACTCOMP","ACTENGL","ACTMATH","ACTSCIR","HSGPA"
"e93707c1cd586ab7bd792c5b45165734","F",3.8325,"M",29.0,34.0,29.0,26.0,3.65999984741211
"253dce8ea88cd203a31648840c25889b","A+",4.04125,"F",32.0,33.0,32.0,29.0,4.0
"f40afdc0695232a0f95732c88a58f304","D",2.86,"F",22.0,21.0,21.0,25.0,4.0
"d8ddf90be8bd990c6617a664ed7f5a91","C+",2.359166667,"M",21.0,16.0,22.0,22.0,3.52999877929688
"1e8b8c678b3baa660bcf44c376a79d0a","A",3.921538462,"M",22.0,22.0,23.0,21.0,3.86999893188477
"6d97af709ce26b8192f73e5dc8fa85db","C",2.420666667,"M",22.0,21.0,25.0,23.0,3.01999855041504
"81c113f7759ae52d16e4575c29b19c6f","W",3.433,"M",17.0,13.0,20.0,20.0,2.2599983215332
"a32ae80c448e66e66c82569a6ff0f546","A-",4.022,"M",26.0,25.0,27.0,27.0,4.0
"302707d3c96ecea9afed63f40d40bc0d","W",2.165,"F",22.0,23.0,19.0,21.0,3.38999938964844
"50789cab70bea1e97185a84cd73f53fc","B-",2.898461538,"M",23.0,21.0,26.0,22.0,3.32999992370605
"69e7a8fa3b21f81029f78a7490adeb7d","W",0.666,"F",24.0,24.0,18.0,22.0,3.55999946594238
"c823f769b39f5504c7870ff67e2fb5d0","C-",2.4175,"M",17.0,10.0,23.0,19.0,3.41999816894531
"c258d3af515e7e53b38956fcd81aecdc","B-",2.67,"F",23.0,24.0,24.0,24.0,4.0
"c258d3af515e7e53b38956fcd81aecdc","B-",2.67,"F",23.0,24.0,24.0,24.0,4.0
"c0e851b0f7606308ca1b0eb4332773bb","C",3.587647059,"M",26.0,27.0,23.0,23.0,3.43999862670898
"35b3a18b7f0fe8bbf28785a42549dd2d","C+",3.449411765,"F",24.0,27.0,24.0,24.0,3.76999855041504
"b564ff288f92c21dd3bb29b47f23d0dd","W",3.26,"M",28.0,29.0,27.0,28.0,3.65999984741211
"659c52f8c112e64c1c398fa519aaded1","C",2.898461538,"M",20.0,19.0,24.0,24.0,3.46999931335449
"8da162621f9055e4e2eccac0625ca8e6","A+",3.901176471,"M",28.0,28.0,26.0,29.0,3.91999816894531
"aaeda63ce9b66cd541103aeff2fc23f7","A+",4.264,"F",29.0,29.0,31.0,31.0,4.0
"d85bb4e7efd8febe3c99dbaa493566ca","W",2.073333333,"M",20.0,21.0,19.0,23.0,2.8799991607666
"5d25e341635ceca7748fb370e4936674","B",3.43875,"M",23.0,25.0,29.0,20.0,3.14999961853027
"bb26e10eff8ddb230c795e1f7cae6050","B+",3.978235294,"F",28.0,31.0,24.0,24.0,4.0
"b03d55dc44780becb0b3e93c8ea74d3c","B-",3.144285714,"M",23.0,22.0,26.0,22.0,3.11999893188477
"82f1dc805a9e69f0faa350c8e4ada9dc","D",1.666,"M",17.0,16.0,18.0,18.0,3.57999992370605
"8a76577a0e5469ac9548bfde9a00b9b7","B",3.714285714,"M",31.0,30.0,28.0,30.0,3.7599983215332
"46b5eac034e073a8be1f99ad73defd3b","C",3.261428571,"F",17.0,15.0,21.0,20.0,3.68999862670898
"7d56c3b898ad70c42f36e6205fb11ca0","W",2.698,"F",23.0,23.0,23.0,22.0,3.22999954223633
"c51de7dc0862a9feadd7742dfe016f0c","B+",3.784117647,"M",30.0,28.0,34.0,28.0,3.67999839782715
"17206b4bbcd0d2b7977169cec6fe369b","WP",2.923076923,"M",23.0,18.0,24.0,24.0,3.53999900817871
"a0998199815325d90d42e8c16d2234c2","WP",4.188571429,"M",25.0,24.0,24.0,23.0,3.88999938964844
"bc53022f1d0e58fd7af914a46e7e47f2","C",2.929285714,"M",30.0,28.0,26.0,32.0,3.88999938964844
"a841a2a3d4b582bf1ea47d9e1445b533","A+",4.176,"M",29.0,28.0,29.0,29.0,4.0
