"combinations","n","pMax","pAvg","r2"
"delay,reachability,term_blocking,term_centrality","4","0.04748437198926549","0.009496874579292991","0.881570874670223"
"delay,reachability,term_blocking,free","4","0.0004303563959586802","8.808197659914775e-5","0.8775456342212125"
"delay,reachability,term_blocking,edges","4","0.8616118180641468","0.17232252690930724","0.8763974511077138"
"delay,reachability,term_centrality,free","4","9.427894179131167e-6","1.885652967627888e-6","0.8884143178468288"
"delay,reachability,term_centrality,edges","4","0.01613825664906904","0.0032423094013346553","0.8824251875459673"
"delay,reachability,free,edges","4","0.02903012434683582","0.011095542536887975","0.8705963145335882"
"delay,term_blocking,term_centrality,free","4","0.9046855940412557","0.24263301271368368","0.8715295704202644"
"delay,term_blocking,term_centrality,edges","4","0.16827868231555396","0.04021950140944556","0.8773067432680904"
"delay,term_blocking,free,edges","4","0.00024484872290255063","4.917878062095593e-5","0.8826466119217464"
"delay,term_centrality,term_reachability,free","4","0.9046855940412588","0.24263301271368481","0.8715295704202644"
"delay,term_centrality,term_reachability,edges","4","0.16827868231549775","0.040219501409427594","0.8773067432680904"
"delay,term_centrality,free,edges","4","0.0018840662694000407","0.0003809174699873879","0.879700026363581"
"delay,term_reachability,free,edges","4","0.00024484872290255063","4.917878062095593e-5","0.8826466119217464"
"centrality,reachability,term_complexity,free","4","0.006439275757886353","0.0016544154806664706","0.8615080681510046"
"centrality,reachability,term_complexity,edges","4","0.2838311484925468","0.06721384099674649","0.8592196875326165"
"centrality,reachability,term_blocking,term_delay","4","0.18225250259054598","0.037003055312317186","0.8644715099670021"
