"combinations","n","r2"
"complexity,inverseDelay,free,timeComp1,timeComp2","5","0.818154923399438"
"complexity,centrality,creditHours,free,timeComp1","5","0.9213308841078847"
"complexity,centrality,creditHours,free,timeComp2","5","0.9241408745736053"
"complexity,centrality,creditHours,timeComp1,timeComp2","5","0.9241881256270926"
"complexity,centrality,free,timeComp1,timeComp2","5","0.8327805046383975"
"complexity,creditHours,free,timeComp1,timeComp2","5","0.9145662155568057"
"blocking,delay,inverseDelay,centrality,creditHours","5","0.9189796782819951"
"blocking,delay,inverseDelay,centrality,free","5","0.5458663914790183"
"blocking,delay,inverseDelay,centrality,timeComp1","5","0.7918733325688542"
"blocking,delay,inverseDelay,centrality,timeComp2","5","0.8201794086262051"
"blocking,delay,inverseDelay,creditHours,free","5","0.9128721108125394"
"blocking,delay,inverseDelay,creditHours,timeComp1","5","0.9142522387020326"
"blocking,delay,inverseDelay,creditHours,timeComp2","5","0.9183448222873983"
"blocking,delay,inverseDelay,free,timeComp1","5","0.8053090612331972"
"blocking,delay,inverseDelay,free,timeComp2","5","0.8190320776068364"
"blocking,delay,inverseDelay,timeComp1,timeComp2","5","0.8316325127741715"
"blocking,delay,centrality,creditHours,free","5","0.9188793729136344"
"blocking,delay,centrality,creditHours,timeComp2","5","0.9233910980298076"
"blocking,delay,centrality,free,timeComp1","5","0.8052001484178559"
