"combinations","coefs","n","pMax","pAvg","r2"
"credits,complexity,centrality,free","242.86676442623514,-1.3652069870132328,0.06348413984698853,-0.0889697132771855,0.011846400690697341","4","0.9532237068485274","0.207023818467718","0.8124265971382588"
"credits,complexity,centrality,edges","250.16004615315288,-1.4403180924410588,0.050654320644764814,-0.09365843948649914,0.21893787603634404","4","0.25863156158387873","0.08604695170746327","0.8193909563287017"
"credits,complexity,reachability,free","218.37541024877737,-1.1647876168833202,0.28602844946237455,-0.8443638854686609,-0.14748852955164052","4","0.48614629942657567","0.09748478536243518","0.8052485503067414"
"credits,complexity,reachability,edges","218.62418251516894,-1.2701703784813092,0.3328002719058936,-1.0422913124930744,0.5190873896078994","4","0.010928345817887571","0.002199643319509013","0.8348083147825427"
"credits,complexity,free,edges","252.92368334607698,-1.3934642268352229,-0.09061958320788246,0.09844617199867403,0.06588970056378252","4","0.8021291864789781","0.30454505976056623","0.6990571107578437"
"credits,blocking,delay,centrality","228.58838173276558,-1.2709688356213495,-0.1892612614271996,0.17499044143059106,-0.058371311637061975","4","0.38474861149198925","0.10849494679161746","0.819937025473914"
"credits,blocking,delay,reachability","213.21169024389206,-1.1575482078315218,-0.5416587396355342,0.2766095132388661,0.007812500000000111","4","0.9999999953782288","0.40034542869000445","0.8023860327495"
"credits,blocking,delay,free","218.37541024877785,-1.1647876168833238,-0.5583354360062858,0.28602844946237405,-0.14748852955164113","4","0.4861462994265739","0.09748070313082555","0.8052485503067413"
"credits,blocking,delay,edges","218.62418251516883,-1.2701703784813083,-0.7094910405871812,0.3328002719058938,0.5190873896078997","4","0.010928345817887687","0.0021996101035076116","0.8348083147825427"
"credits,blocking,centrality,reachability","249.70566012449603,-1.3948445627092079,0.13675261093983218,-0.08966846505584078,0.0","4","1.0","0.4002945261762167","0.8037321321778336"
"credits,blocking,centrality,free","248.8107357170004,-1.3933312775285205,0.13985741716606825,-0.08995475563339864,0.021922925606874522","4","0.9172776695085845","0.2297073685541257","0.8037962707464279"
"credits,blocking,centrality,edges","254.7820080599313,-1.4577970220318026,0.07384039656996666,-0.08660980885211701,0.2416173805741146","4","0.5494343089126663","0.16081976034986073","0.8112124024522058"
"credits,blocking,free,edges","247.45659340306423,-1.386147758792416,-0.2728190850093155,0.058009211891532145,0.3239291394967354","4","0.814457039921086","0.20272297037486742","0.756028864995251"
"credits,delay,centrality,reachability","228.58838173276567,-1.2709688356213502,0.1749904414305902,-0.0583713116370622,-0.18926126142719776","4","0.3847486114919932","0.10849494679161815","0.8199370254739139"
"credits,delay,centrality,free","239.4164152287313,-1.3429754345365692,0.09821220029322358,-0.08338514205236382,-0.0037644814000657757","4","0.9848856276094993","0.20792394794366578","0.8158168189716907"
"credits,delay,reachability,free","218.37541024877822,-1.1647876168833287,0.2860284494623747,-0.5583354360062858,-0.1474885295516359","4","0.48614629942658943","0.09748070313082864","0.8052485503067413"
"credits,delay,reachability,edges","218.6241825151681,-1.2701703784813003,0.33280027190589123,-0.7094910405871767,0.5190873896078912","4","0.010928345817888966","0.002199610103507869","0.8348083147825427"
"credits,delay,free,edges","253.1847622048298,-1.3816330033272228,-0.1175284748410143,0.12429108091796488,-0.12909491862478453","4","0.6685243168440358","0.2613411337242201","0.661639877062612"
"credits,centrality,reachability,free","248.81073571700145,-1.3933312775285325,-0.08995475563339855,0.13985741716606961,0.021922925606886145","4","0.917277669508541","0.22970736855411658","0.8037962707464277"
"credits,centrality,reachability,edges","254.78200805992995,-1.457797022031791,-0.0866098088521175,0.07384039656996928,0.24161738057410856","4","0.5494343089126537","0.1608197603498605","0.8112124024522059"
"credits,centrality,free,edges","251.00586965175674,-1.4512545433488233,-0.07129264260205555,0.09190250623675028,0.3314754880867728","4","0.672507549503794","0.15583993373760768","0.8101901970115734"
"credits,reachability,free,edges","247.45659340306423,-1.386147758792416,-0.2728190850093155,0.058009211891532145,0.3239291394967354","4","0.814457039921086","0.20272297037486742","0.756028864995251"
"complexity,centrality,reachability,free","72.26561267663384,0.3870576934437134,0.0014381038833993524,-1.1033673110566442,-0.09363985222162387","4","0.9749260170734075","0.34941718872077143","0.6304511854539523"
"complexity,centrality,reachability,edges","64.94177290756116,0.431117442753262,0.012034227058779413,-1.2887038371653625,0.26551279615744233","4","0.7983505733456184","0.2420020722226206","0.6371849244659994"
"complexity,centrality,free,edges","77.78687402831555,0.06046859950258099,-0.08716816368446835,0.09595218994775341,-0.16181729893284028","4","0.7715075997846237","0.33426948032772424","0.562573969840544"
"complexity,reachability,free,edges","66.51649104928967,0.4093997390818997,-1.190372675103148,-0.024902306034179564,0.2300020028066575","4","0.934391261049532","0.27840295152603545","0.6365419454082275"
