"combinations","n","r2"
"complexity,blocking,creditHours,free,timeComp2","5","0.9797622812194423"
"complexity,blocking,creditHours,timeComp1,timeComp2","5","0.9798891423761419"
"complexity,delay,inverseBlocking,inverseDelay,centrality","5","0.5682201571331914"
"complexity,delay,inverseBlocking,inverseDelay,creditHours","5","0.9813153996949162"
"complexity,delay,inverseBlocking,inverseDelay,free","5","0.56770561144995"
"complexity,delay,inverseBlocking,inverseDelay,timeComp1","5","0.873753729706249"
"complexity,delay,inverseBlocking,inverseDelay,timeComp2","5","0.9011613208112489"
"complexity,delay,inverseBlocking,centrality,creditHours","5","0.979918878554254"
"complexity,delay,inverseBlocking,centrality,free","5","0.5308509558562634"
"complexity,delay,inverseBlocking,centrality,timeComp2","5","0.9006623956468959"
"complexity,delay,inverseBlocking,creditHours,free","5","0.9795245176576044"
"complexity,delay,inverseBlocking,creditHours,timeComp1","5","0.9796734843454501"
"complexity,delay,inverseBlocking,creditHours,timeComp2","5","0.9795917320941591"
"complexity,delay,inverseBlocking,free,timeComp1","5","0.8867723860726584"
"complexity,delay,inverseBlocking,free,timeComp2","5","0.9060541712338596"
"complexity,delay,inverseBlocking,timeComp1,timeComp2","5","0.9209035893026227"
"complexity,delay,inverseDelay,centrality,creditHours","5","0.9816613329022003"
"complexity,delay,inverseDelay,centrality,free","5","0.5837859786043221"
"complexity,delay,inverseDelay,centrality,timeComp1","5","0.8764385104205593"
"complexity,delay,inverseDelay,centrality,timeComp2","5","0.9012438292699428"
"complexity,delay,inverseDelay,creditHours,free","5","0.9814042515032382"
"complexity,delay,inverseDelay,creditHours,timeComp1","5","0.9813547278301596"
"complexity,delay,inverseDelay,creditHours,timeComp2","5","0.9817273985899152"
"complexity,delay,inverseDelay,free,timeComp1","5","0.887724108603262"
"complexity,delay,inverseDelay,free,timeComp2","5","0.9063578107260891"
"complexity,delay,inverseDelay,timeComp1,timeComp2","5","0.9210053622400588"
"complexity,delay,centrality,creditHours,free","5","0.9799374006803547"
"complexity,delay,centrality,creditHours,timeComp1","5","0.9800530871465875"
"complexity,delay,centrality,creditHours,timeComp2","5","0.9800248821220098"
"complexity,delay,centrality,free,timeComp1","5","0.8911310026879556"
"complexity,delay,centrality,free,timeComp2","5","0.9067250370203279"
"complexity,delay,centrality,timeComp1,timeComp2","5","0.9209406206505099"
"complexity,delay,creditHours,free,timeComp1","5","0.9798287729450355"
"complexity,delay,creditHours,free,timeComp2","5","0.9797622812194423"
"complexity,delay,creditHours,timeComp1,timeComp2","5","0.9798891423761419"
"complexity,delay,free,timeComp1,timeComp2","5","0.9209197358056024"
"complexity,inverseBlocking,inverseDelay,centrality,creditHours","5","0.9816613329022003"
"complexity,inverseBlocking,inverseDelay,centrality,free","5","0.5837859786043221"
"complexity,inverseBlocking,inverseDelay,centrality,timeComp1","5","0.8764385104205594"
"complexity,inverseBlocking,inverseDelay,centrality,timeComp2","5","0.9012438292699428"
"complexity,inverseBlocking,inverseDelay,creditHours,free","5","0.9814042515032382"
"complexity,inverseBlocking,inverseDelay,creditHours,timeComp1","5","0.9813547278301596"
"complexity,inverseBlocking,inverseDelay,creditHours,timeComp2","5","0.9817273985899152"
"complexity,inverseBlocking,inverseDelay,free,timeComp1","5","0.8877241086032621"
"complexity,inverseBlocking,inverseDelay,free,timeComp2","5","0.9063578107260892"
"complexity,inverseBlocking,inverseDelay,timeComp1,timeComp2","5","0.9210053622400587"
"complexity,inverseBlocking,centrality,creditHours,free","5","0.9799374006803547"
"complexity,inverseBlocking,centrality,creditHours,timeComp1","5","0.9800530871465875"
"complexity,inverseBlocking,centrality,creditHours,timeComp2","5","0.9800248821220098"
"complexity,inverseBlocking,centrality,free,timeComp2","5","0.9067250370203279"
"complexity,inverseBlocking,centrality,timeComp1,timeComp2","5","0.92094062065051"
"complexity,inverseBlocking,creditHours,free,timeComp1","5","0.9798287729450355"
"complexity,inverseBlocking,creditHours,free,timeComp2","5","0.9797622812194423"
"complexity,inverseBlocking,creditHours,timeComp1,timeComp2","5","0.9798891423761419"
"complexity,inverseDelay,centrality,creditHours,free","5","0.9810740656115745"
"complexity,inverseDelay,centrality,creditHours,timeComp1","5","0.9810870410766893"
"complexity,inverseDelay,centrality,creditHours,timeComp2","5","0.9816365515792472"
"complexity,inverseDelay,centrality,free,timeComp1","5","0.8879963507338033"
"complexity,inverseDelay,centrality,free,timeComp2","5","0.9042338879281198"
"complexity,inverseDelay,centrality,timeComp1,timeComp2","5","0.9175875030282733"
"complexity,inverseDelay,creditHours,free,timeComp1","5","0.9774530954314143"
"complexity,inverseDelay,creditHours,free,timeComp2","5","0.9792343572300254"
"complexity,inverseDelay,creditHours,timeComp1,timeComp2","5","0.979501449825827"
"complexity,inverseDelay,free,timeComp1,timeComp2","5","0.914433785643627"
"complexity,centrality,creditHours,free,timeComp1","5","0.9798973036067318"
"complexity,centrality,creditHours,free,timeComp2","5","0.9799930774668598"
"complexity,centrality,creditHours,timeComp1,timeComp2","5","0.980143585865519"
"complexity,centrality,free,timeComp1,timeComp2","5","0.9178286418158917"
"blocking,delay,inverseDelay,centrality,creditHours","5","0.9816613329022003"
"blocking,delay,inverseDelay,centrality,free","5","0.5837859786043221"
"blocking,delay,inverseDelay,centrality,timeComp1","5","0.8764385104205593"
"blocking,delay,inverseDelay,centrality,timeComp2","5","0.901243829269943"
"blocking,delay,inverseDelay,creditHours,free","5","0.9814042515032382"
"blocking,delay,inverseDelay,creditHours,timeComp1","5","0.9813547278301596"
"blocking,delay,inverseDelay,creditHours,timeComp2","5","0.9817273985899153"
"blocking,delay,inverseDelay,free,timeComp1","5","0.8877241086032621"
"blocking,delay,inverseDelay,free,timeComp2","5","0.9063578107260892"
"blocking,delay,inverseDelay,timeComp1,timeComp2","5","0.9210053622400588"
"blocking,delay,centrality,creditHours,free","5","0.9799374006803547"
"blocking,delay,centrality,creditHours,timeComp1","5","0.9800530871465875"
"blocking,delay,centrality,creditHours,timeComp2","5","0.9800248821220098"
"blocking,delay,centrality,free,timeComp1","5","0.8911310026879556"
